Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Brooklyn Nets,38.55,12.93,25.71,22.49,0.32,12.53,12.18,10.69,10.31,13.98,13.65,2005-2006,REG,82
New Orleans Pelicans,43.12,16.43,26.68,13.6,0.17,10.85,12.36,9.26,10.37,12.1,14.04,2005-2006,REG,82
New York Knicks,50.23,15.06,20.61,13.78,0.31,9.74,12.51,7.99,10.38,11.2,14.38,2005-2006,REG,82
Oklahoma City Thunder,41.07,16.23,18.43,23.92,0.36,12.15,11.78,10.32,9.73,13.69,13.72,2005-2006,REG,82
Orlando Magic,45.18,16.08,25.81,12.72,0.21,10.56,11.91,8.96,9.92,11.99,13.57,2005-2006,REG,82
Philadelphia 76ers,43.37,18.9,22.03,15.54,0.17,10.71,11.65,8.97,9.65,12.18,13.36,2005-2006,REG,82
Phoenix Suns,30.78,13.8,26.17,29.06,0.18,14.01,12.29,12.03,10.41,15.82,13.86,2005-2006,REG,82
Portland Trailblazers,42.64,12.57,28.25,16.2,0.34,11.55,11.56,9.62,10.01,13.1,12.92,2005-2006,REG,82
Sacramento Kings,37.52,9.37,31.38,21.51,0.22,12.9,11.99,10.64,9.94,14.78,13.7,2005-2006,REG,82
San Antonio Spurs,44.07,15.04,19.49,21.22,0.17,11.42,10.48,9.45,8.88,13.19,11.71,2005-2006,REG,82
Toronto Raptors,36.99,17.25,21.42,24.08,0.26,12.49,11.5,10.88,9.47,13.83,13.46,2005-2006,REG,82
Utah Jazz,42.11,13.31,29.76,14.61,0.21,11.34,12.23,9.33,10.61,12.94,13.55,2005-2006,REG,82
Washington Wizards,42.02,12.33,24.73,20.73,0.18,12.15,11.94,10.04,9.89,13.86,13.72,2005-2006,REG,82
Atlanta Hawks,48.5,16.55,20.37,14.24,0.34,10.05,11.09,8.15,9.32,11.54,12.71,2004-2005,REG,82
Boston Celtics,45.56,13.99,21.24,18.95,0.25,10.96,11.63,9,9.63,12.69,13.23,2004-2005,REG,82
Charlotte Hornets,38.97,18.84,29.39,12.67,0.13,11.38,11.05,9.87,9.25,12.52,12.6,2004-2005,REG,82
Chicago Bulls,39.49,17.4,21.44,21.51,0.17,11.94,12.31,10.28,10.49,13.2,13.64,2004-2005,REG,82
Cleveland Cavaliers,43.19,20.01,23.25,13.43,0.12,10.74,11.24,8.81,9.75,12.31,12.46,2004-2005,REG,82
Dallas Mavericks,38.39,18.29,24.18,18.8,0.33,11.92,11.52,10.15,9.41,13.42,13.17,2004-2005,REG,82
Denver Nuggets,43.93,14.48,27.39,13.85,0.35,10.77,11.92,8.36,9.79,12.82,13.64,2004-2005,REG,82
Detroit Pistons,39.92,22.33,21.49,16.1,0.16,11.08,11.8,9.28,9.93,12.51,13.21,2004-2005,REG,82
Golden State Warriors,38.41,11.62,24.75,25.06,0.16,12.92,11.44,10.93,9.66,14.42,12.95,2004-2005,REG,82
Houston Rockets,34.91,15.84,25.61,23.4,0.23,13.04,12.78,11.25,11.07,14.46,14.04,2004-2005,REG,82
Indiana Pacers,37.11,17.55,19.95,25.2,0.2,12.72,11.53,10.74,10.03,14.22,12.71,2004-2005,REG,82
Los Angeles Clippers,40.56,19.96,28.97,10.22,0.28,11.05,11.63,9.34,9.96,12.51,12.97,2004-2005,REG,82
Los Angeles Lakers,41.82,12.05,18.83,26.79,0.51,12.35,12.25,10.26,10.43,13.97,13.77,2004-2005,REG,82
Memphis Grizzlies,47.23,11.5,17.6,23.36,0.3,11.09,11.64,9.09,10.05,12.7,12.85,2004-2005,REG,82
Miami Heat,43.18,15.2,21.88,19.58,0.16,11.14,12.33,9.09,10.81,13.09,13.47,2004-2005,REG,82
Milwaukee Bucks,42.43,21.16,22.37,13.88,0.17,10.72,11.55,9.28,9.3,11.9,13.5,2004-2005,REG,82
Minnesota Timberwolves,32.01,22.3,28.44,17,0.24,12.79,11.59,11.18,9.79,14.16,12.99,2004-2005,REG,82
Brooklyn Nets,36.43,15.11,29.8,18.39,0.27,12.53,12.37,11.1,10.95,13.61,13.48,2004-2005,REG,82
New Orleans Pelicans,36.79,15.43,27.74,19.87,0.17,12.25,12.13,10.42,10.14,13.55,13.78,2004-2005,REG,82
New York Knicks,40.07,16.09,25.11,18.38,0.35,11.76,11.49,10,9.55,13.2,13.18,2004-2005,REG,82
Oklahoma City Thunder,40.12,15.34,16.5,27.73,0.31,12.49,11.67,10.5,9.48,14.08,13.52,2004-2005,REG,82
Orlando Magic,40.14,18.61,27.61,13.51,0.14,11.24,11.48,9.44,9.6,12.74,13.03,2004-2005,REG,82
Philadelphia 76ers,41.32,15.89,21.26,21.39,0.14,11.65,12.6,9.66,10.59,13.2,14.2,2004-2005,REG,82
Phoenix Suns,37.08,16.81,17.28,28.44,0.38,12.61,12.02,10.54,9.9,14.5,13.71,2004-2005,REG,82
Portland Trailblazers,45.99,14.54,21.48,17.77,0.22,10.81,11.2,8.78,9.34,12.48,12.71,2004-2005,REG,82
Sacramento Kings,35.32,10.96,33.66,19.88,0.17,13.04,11.63,11.23,9.49,14.58,13.45,2004-2005,REG,82
San Antonio Spurs,44.91,16.25,17.35,21.29,0.2,11.19,10.69,9.16,9.28,12.87,11.73,2004-2005,REG,82
Toronto Raptors,37.44,16.7,20.71,24.86,0.29,12.51,11.26,11.02,9.41,13.7,12.89,2004-2005,REG,82
Utah Jazz,40.25,16.46,31.47,11.54,0.29,11.29,12.41,9.44,10.26,12.79,14.23,2004-2005,REG,82
Washington Wizards,41.88,15.46,20.64,21.77,0.25,12.07,12.06,9.99,10,13.69,13.82,2004-2005,REG,82
Atlanta Hawks,41.33,18.91,20.49,19.21,0.06,11.32,11.19,9.6,9.5,12.63,12.52,2003-2004,REG,82
Boston Celtics,38.24,14.64,22.21,24.68,0.23,12.62,12.62,10.72,10.78,14.13,14.04,2003-2004,REG,82
Chicago Bulls,37.61,17.81,25.92,18.42,0.24,12.11,11.67,10.52,10.04,13.23,12.93,2003-2004,REG,82
Cleveland Cavaliers,44.57,24.14,19.64,11.42,0.24,10.16,11.05,8.34,9.67,11.54,12.12,2003-2004,REG,82
Dallas Mavericks,40.97,16.97,22.02,19.71,0.33,11.73,11.56,9.7,9.37,13.46,13.41,2003-2004,REG,82
Denver Nuggets,42.69,15.66,27.2,14.25,0.19,10.99,10.72,8.84,8.92,12.69,12.21,2003-2004,REG,82
Detroit Pistons,44.25,22.55,17.87,15.2,0.13,10.33,11.69,8.6,9.68,11.66,13.1,2003-2004,REG,82
Golden State Warriors,43.96,14.58,21.79,19.35,0.32,11.5,11.56,9.33,9.92,13.22,12.88,2003-2004,REG,82
Houston Rockets,37.23,18.98,21.1,22.31,0.38,12.34,12.47,10.61,10.95,13.71,13.53,2003-2004,REG,82
Indiana Pacers,39.67,20.44,19.61,20.04,0.24,11.7,11.49,10,9.61,13.01,12.91,2003-2004,REG,82
Los Angeles Clippers,45.25,17.37,21.83,15.34,0.21,10.67,11.47,8.53,9.51,12.28,13.13,2003-2004,REG,82
Los Angeles Lakers,42.98,16.54,23.64,16.57,0.26,11.14,12.14,8.74,9.95,13.13,13.87,2003-2004,REG,82
Memphis Grizzlies,47.84,13.43,19.05,19.29,0.39,10.77,10.56,8.62,8.65,12.49,12.05,2003-2004,REG,82
Miami Heat,39.88,15.88,23.17,20.74,0.33,11.91,12.31,10.07,10.42,13.27,13.73,2003-2004,REG,82
Milwaukee Bucks,42.53,22.29,17.88,17.13,0.17,10.86,11.35,9.09,9.45,12.29,12.93,2003-2004,REG,82
Minnesota Timberwolves,30.65,25.61,30.12,13.33,0.29,12.58,11.78,11.16,9.86,13.8,13.13,2003-2004,REG,82
Brooklyn Nets,41.26,14.39,26.74,17.31,0.3,11.53,12.07,9.25,10.33,13.33,13.36,2003-2004,REG,82
New Orleans Pelicans,37.92,16.02,20.86,24.99,0.2,12.46,11.69,10.42,9.69,13.93,13.28,2003-2004,REG,82
New York Knicks,36.91,22.45,23.6,16.78,0.26,11.82,11.78,10.34,10.16,12.99,13,2003-2004,REG,82
Oklahoma City Thunder,36.85,15.58,18.3,28.98,0.28,13.12,11.88,10.99,9.82,14.84,13.58,2003-2004,REG,82
Orlando Magic,35.73,18.53,27.33,18.31,0.1,12.39,11.29,10.93,9.14,13.48,13.17,2003-2004,REG,82
Philadelphia 76ers,40.83,21.74,21.58,15.7,0.14,10.93,11.9,9.2,9.7,12.23,13.58,2003-2004,REG,82
Phoenix Suns,41.54,19.43,21.07,17.69,0.27,11.07,11.78,8.98,9.56,12.73,13.58,2003-2004,REG,82
Portland Trailblazers,42.94,18.25,21.82,16.78,0.22,11.14,11.38,9.19,9.73,12.72,12.73,2003-2004,REG,82
Sacramento Kings,38.13,11.22,28.36,22.02,0.27,12.63,11.66,10.94,9.47,14.07,13.47,2003-2004,REG,82
San Antonio Spurs,43.73,18.53,19.98,17.57,0.19,11.17,10.83,9.32,9.24,12.63,11.92,2003-2004,REG,82
Toronto Raptors,33.79,19.1,26.76,20.17,0.18,12.67,10.61,10.84,8.82,13.97,11.95,2003-2004,REG,82
Utah Jazz,42.03,12.56,32.8,12.43,0.18,11.21,12.13,9.54,10.48,12.51,13.39,2003-2004,REG,82
Washington Wizards,43.25,16.08,21.38,19.14,0.15,11.5,11.76,9.49,9.77,12.96,13.41,2003-2004,REG,82
Atlanta Hawks,38.37,22.46,21.46,17.45,0.25,11.57,11.33,10.05,9.8,12.8,12.52,2002-2003,REG,82
Boston Celtics,37.02,14.87,14.96,32.81,0.34,13.34,13,11.06,11.11,14.95,14.46,2002-2003,REG,82
Chicago Bulls,44.88,19.24,21.05,14.61,0.22,10.59,11.71,8.72,9.54,12.09,13.41,2002-2003,REG,82
Cleveland Cavaliers,42.08,22.98,21.69,12.81,0.44,10.74,11.58,8.77,9.78,12.17,13.06,2002-2003,REG,82
Dallas Mavericks,34.82,17.22,24.16,23.62,0.19,12.82,11.75,11.04,9.73,14.29,13.31,2002-2003,REG,82
Denver Nuggets,43.55,16.58,27.24,12.5,0.12,10.89,11.99,8.9,10.07,12.29,13.52,2002-2003,REG,82
Detroit Pistons,35.69,18.75,21.86,23.45,0.25,12.68,11.18,10.96,9.54,13.98,12.46,2002-2003,REG,82
Golden State Warriors,44.42,15.66,22.06,17.7,0.17,11.24,10.94,9.28,9.28,12.79,12.31,2002-2003,REG,82
Houston Rockets,40.43,17.12,22.89,19.16,0.4,11.72,12.13,9.58,10.63,13.41,13.27,2002-2003,REG,82
Indiana Pacers,39.26,21.19,22.64,16.78,0.14,11.62,11.62,9.73,9.85,13.1,12.94,2002-2003,REG,82
Los Angeles Clippers,45.77,19.12,17.03,17.73,0.34,10.73,11.66,8.62,9.96,12.36,13.04,2002-2003,REG,82
Los Angeles Lakers,39.54,18.34,22.55,19.31,0.25,11.84,11.89,9.74,10.17,13.56,13.26,2002-2003,REG,82
Memphis Grizzlies,41.9,17.31,21.83,18.7,0.26,11.55,10.88,9.65,9.21,13.11,12.29,2002-2003,REG,82
Miami Heat,34.06,19.21,29.86,16.54,0.32,12.48,11.87,10.65,10.12,13.77,13.23,2002-2003,REG,82
Milwaukee Bucks,35.66,23.68,17.79,22.67,0.2,12.23,11.56,10.64,9.84,13.56,13.01,2002-2003,REG,82
Minnesota Timberwolves,35.84,19.81,32.61,11.61,0.13,11.92,12.2,10.33,10.24,13.29,13.72,2002-2003,REG,82
Brooklyn Nets,43.28,15.2,25.8,15.52,0.2,10.96,12.07,8.75,10.36,12.71,13.35,2002-2003,REG,82
New Orleans Pelicans,37.65,22.21,24.12,15.91,0.1,11.6,10.84,10.17,9.05,12.71,12.24,2002-2003,REG,82
New York Knicks,30.87,23.51,22.22,23.18,0.21,13.12,11.13,11.92,8.93,14.07,12.97,2002-2003,REG,82
Oklahoma City Thunder,38.4,17.02,24.91,19.48,0.2,12.2,12.28,10.3,10.16,13.68,13.99,2002-2003,REG,82
Orlando Magic,35.11,11.96,29.55,23.19,0.19,13.11,11.66,11.43,9.34,14.41,13.6,2002-2003,REG,82
Philadelphia 76ers,46.75,21.3,20.07,11.72,0.17,9.74,11.79,7.87,9.91,11.26,13.35,2002-2003,REG,82
Phoenix Suns,42.87,18.93,21.31,16.62,0.27,10.91,11.71,9.12,9.36,12.33,13.54,2002-2003,REG,82
Portland Trailblazers,43.63,17.18,21.55,17.22,0.42,11.07,12.09,8.71,9.92,13.09,13.86,2002-2003,REG,82
Sacramento Kings,39.31,12.98,29.33,17.95,0.43,12.18,12.07,10.14,10.07,13.94,13.51,2002-2003,REG,82
San Antonio Spurs,46.17,17.31,16.31,19.99,0.21,10.83,11.2,8.75,9.69,12.61,12.32,2002-2003,REG,82
Toronto Raptors,37.11,18.7,26.29,17.66,0.24,12.06,10.51,10.22,8.81,13.44,11.96,2002-2003,REG,82
Utah Jazz,41.75,16.56,31.44,10.08,0.17,10.81,12.12,8.93,10.2,12.46,13.59,2002-2003,REG,82
Washington Wizards,33.03,23.38,30.9,12.64,0.05,12.29,12.38,10.84,10.52,13.43,13.86,2002-2003,REG,82
Atlanta Hawks,44.24,18.6,19.14,17.88,0.14,10.8,11.35,9.1,9.38,12.14,13.01,2001-2002,REG,82
Boston Celtics,39.21,13.7,18.21,28.54,0.34,12.82,13.4,10.98,11.46,14.17,14.83,2001-2002,REG,82
Chicago Bulls,36.77,19.9,30,13.18,0.16,11.66,11.93,10.16,10.16,12.8,13.47,2001-2002,REG,82
Cleveland Cavaliers,35.83,24.43,24.13,15.18,0.43,11.97,11.27,10.62,9.88,13.07,12.43,2001-2002,REG,82
Dallas Mavericks,36.15,18.69,21.5,23.46,0.2,12.43,11.1,10.71,9.03,13.91,12.8,2001-2002,REG,82
Denver Nuggets,41.31,15.44,24.54,18.4,0.31,11.62,11.34,9.5,9.48,13.18,12.92,2001-2002,REG,82
Detroit Pistons,37.05,18.29,20.73,23.78,0.14,12.37,11.35,10.47,9.73,13.93,12.66,2001-2002,REG,82
Golden State Warriors,49.86,14.52,21.3,14.06,0.26,10.25,10.89,8.08,8.73,11.89,12.72,2001-2002,REG,82
Houston Rockets,37.36,13.28,27.1,21.97,0.3,12.61,11.27,10.53,9.56,14.16,12.75,2001-2002,REG,82
Indiana Pacers,37.64,22.04,22.16,17.83,0.33,11.96,11.64,10.08,10.01,13.47,12.9,2001-2002,REG,82
Los Angeles Clippers,41.6,25.94,15.27,17.04,0.15,10.94,11.28,9.05,9.48,12.46,12.75,2001-2002,REG,82
Los Angeles Lakers,39.61,18.77,20.57,20.81,0.23,11.91,12.06,9.6,9.84,13.89,13.7,2001-2002,REG,82
Memphis Grizzlies,42.95,17.12,23.23,16.48,0.21,11.26,10.95,9.11,9.03,12.92,12.57,2001-2002,REG,82
Miami Heat,33.66,19.96,32.28,13.69,0.41,12.46,11.88,10.44,10.22,14.03,13.09,2001-2002,REG,82
Milwaukee Bucks,32.21,27.72,16.06,23.71,0.3,12.75,11.95,11.25,10.07,14.04,13.43,2001-2002,REG,82
Minnesota Timberwolves,35.91,20.39,28.58,14.97,0.16,12.05,11.93,10.54,10.07,13.34,13.42,2001-2002,REG,82
Brooklyn Nets,42.15,17.39,22.98,17.11,0.38,11.24,11.6,9.02,10.24,13.04,12.62,2001-2002,REG,82
Charlotte Hornets,39.98,20.15,24.79,14.94,0.14,11.21,11.24,9.5,9.87,12.56,12.28,2001-2002,REG,82
New York Knicks,36,23.59,19.8,20.48,0.14,12.13,11.69,10.74,9.6,13.19,13.36,2001-2002,REG,82
Oklahoma City Thunder,42.96,16.15,21.57,19.2,0.12,11.43,11.97,9.84,9.91,12.83,13.65,2001-2002,REG,82
Orlando Magic,38.23,13.36,24.34,23.93,0.14,12.57,11.2,10.66,9.26,14.11,12.83,2001-2002,REG,82
Philadelphia 76ers,40.65,26.48,21.78,11.02,0.08,10.51,12.28,8.62,10.51,11.97,13.6,2001-2002,REG,82
Phoenix Suns,43.16,20.22,20.82,15.68,0.12,10.7,11.32,8.83,9.6,12.21,12.7,2001-2002,REG,82
Portland Trailblazers,39.65,15.11,25.53,19.47,0.24,12.01,12.23,10.03,10.35,13.63,13.79,2001-2002,REG,82
Sacramento Kings,42.74,12.89,27.82,16.44,0.11,11.29,11.72,9.4,9.72,12.95,13.29,2001-2002,REG,82
San Antonio Spurs,43.06,22.57,15.34,18.88,0.14,10.8,11.34,8.59,9.63,12.66,12.62,2001-2002,REG,82
Toronto Raptors,36.63,23.12,23.81,16.11,0.33,11.82,11.57,10.06,9.86,13.17,12.92,2001-2002,REG,82
Utah Jazz,45.73,14.94,26.22,12.99,0.13,10.39,12.18,8.62,10.46,11.83,13.57,2001-2002,REG,82
Washington Wizards,33.31,26.18,28.73,11.68,0.11,12.06,12.28,10.99,10.42,12.91,13.81,2001-2002,REG,82
Atlanta Hawks,39.48,26.81,19.62,13.84,0.24,11.02,11.36,9.58,9.83,12.12,12.56,2000-2001,REG,82
Boston Celtics,42.08,14.76,17.98,24.92,0.26,12.11,12.12,10.55,10.34,13.28,13.63,2000-2001,REG,82
Chicago Bulls,37.75,22.4,25.07,14.58,0.2,11.59,11.12,9.96,9.22,12.79,12.82,2000-2001,REG,82
Cleveland Cavaliers,43.71,23.41,22.81,9.68,0.4,10.44,11.58,8.84,9.94,11.72,12.89,2000-2001,REG,82
Dallas Mavericks,37.75,21.08,20.96,19.95,0.25,11.95,10.87,10.24,8.99,13.4,12.34,2000-2001,REG,82
Denver Nuggets,39.36,17.52,22.12,20.92,0.07,11.89,11.42,9.74,9.56,13.54,12.91,2000-2001,REG,82
Detroit Pistons,37.52,17.94,28.38,16.06,0.1,11.8,12.01,10.21,10.39,12.98,13.25,2000-2001,REG,82
Golden State Warriors,42.09,20.45,24.06,13.21,0.2,11.1,10.83,9.04,8.88,12.53,12.58,2000-2001,REG,82
Houston Rockets,41.02,16.61,20.52,21.52,0.33,11.83,11.53,9.61,9.86,13.67,12.9,2000-2001,REG,82
Indiana Pacers,37.63,20.28,24.07,17.76,0.26,12.14,11.99,10.6,10.52,13.36,13.07,2000-2001,REG,82
Los Angeles Clippers,43.04,22.1,18.45,16.32,0.09,10.93,11.36,8.92,9.49,12.56,12.83,2000-2001,REG,82
Los Angeles Lakers,41.09,19.72,20.13,18.82,0.24,11.5,12.05,9.26,10.29,13.45,13.43,2000-2001,REG,82
Memphis Grizzlies,36.26,16.94,32.33,14.42,0.05,12.43,11.4,11.01,9.49,13.53,13.04,2000-2001,REG,82
Miami Heat,36.27,18.26,23.39,21.75,0.32,12.6,11.89,10.85,9.76,13.93,13.52,2000-2001,REG,82
Milwaukee Bucks,30.32,30.01,17.89,21.49,0.29,12.76,11.42,11.32,9.68,13.98,12.79,2000-2001,REG,82
Minnesota Timberwolves,35.6,19.84,31.42,12.97,0.17,12.08,10.88,10.68,9.09,13.26,12.36,2000-2001,REG,82
Brooklyn Nets,41.63,17.54,24.29,16.29,0.24,11.27,11.61,9.21,10.07,12.8,12.9,2000-2001,REG,82
Charlotte Hornets,36.3,22.07,26.5,14.94,0.18,11.86,11.47,10.06,9.87,13.22,12.66,2000-2001,REG,82
New York Knicks,38.84,22.83,20.36,17.8,0.18,11.56,12.4,9.93,10.61,12.87,13.68,2000-2001,REG,82
Oklahoma City Thunder,49.74,16.27,16.42,17.4,0.17,10.28,11.72,8.57,9.78,11.72,13.33,2000-2001,REG,82
Orlando Magic,38.24,16.21,25.99,19.29,0.28,12.18,11.32,10.46,9.36,13.52,12.83,2000-2001,REG,82
Philadelphia 76ers,42.78,26.44,18.42,12.16,0.2,10.45,12.08,8.34,10.06,12.16,13.59,2000-2001,REG,82
Phoenix Suns,38.8,21.02,24.6,15.33,0.25,11.55,11.08,9.8,9.39,12.91,12.38,2000-2001,REG,82
Portland Trailblazers,40.98,17.16,25.43,16.21,0.22,11.49,11.86,9.57,10.09,13.17,13.24,2000-2001,REG,82
Sacramento Kings,44.76,12.86,22.99,19.08,0.32,11.41,11.78,9.24,10.05,13.18,13.1,2000-2001,REG,82
San Antonio Spurs,39.38,22.68,20.48,17.21,0.26,11.46,11.51,9.9,10.15,12.79,12.48,2000-2001,REG,82
Toronto Raptors,35.18,18.07,30.05,16.42,0.27,12.44,11.23,10.77,9.56,13.73,12.58,2000-2001,REG,82
Utah Jazz,45.06,15.53,26.04,13.24,0.13,10.56,12.6,8.77,10.81,12.15,14,2000-2001,REG,82
Washington Wizards,41.44,25.23,20.19,13.05,0.09,10.86,11.32,9.34,9.57,12.05,12.88,2000-2001,REG,82
Atlanta Hawks,37.02,29.35,21.72,11.66,0.25,11.1,10.75,9.38,9.25,12.47,12.01,1999-2000,REG,82
Boston Celtics,45.64,17.66,18.44,18.14,0.12,10.94,11.29,9.32,9.52,12.23,12.86,1999-2000,REG,82
Chicago Bulls,42.17,19.27,21.86,16.54,0.16,11.1,11.14,9.27,9.22,12.4,12.76,1999-2000,REG,82
Cleveland Cavaliers,43.8,19.72,22.77,13.56,0.15,10.71,11.75,9.16,9.84,11.94,13.27,1999-2000,REG,82
Dallas Mavericks,35.94,23.44,21.84,18.6,0.17,12.07,11.23,10.7,9.22,13.21,12.93,1999-2000,REG,82
Denver Nuggets,41.57,19.39,18.84,20,0.2,11.4,11.12,9.16,9.24,13.17,12.66,1999-2000,REG,82
Detroit Pistons,40.21,17.3,24.05,18.3,0.14,11.37,12.1,9.5,10.37,12.95,13.6,1999-2000,REG,82
Golden State Warriors,44.6,18.11,22.33,14.81,0.16,10.9,10.86,9.05,8.92,12.24,12.56,1999-2000,REG,82
Houston Rockets,45.87,13.41,16.45,24.04,0.22,11.29,10.84,8.93,9.28,13.22,12.15,1999-2000,REG,82
Indiana Pacers,37.13,20.49,20.04,22.25,0.09,12.54,10.99,11.06,9.24,13.81,12.39,1999-2000,REG,82
Los Angeles Clippers,40.04,23.9,17.18,18.6,0.28,11.48,10.41,9.44,8.54,12.98,12.13,1999-2000,REG,82
Los Angeles Lakers,44.5,20.56,19.81,15.03,0.11,10.59,11.97,8.44,10.21,12.4,13.23,1999-2000,REG,82
Memphis Grizzlies,43.42,20.82,21.87,13.79,0.1,10.78,10.93,9.04,8.87,12.2,12.81,1999-2000,REG,82
Miami Heat,36.84,21.81,22.85,18.3,0.2,12.02,11.7,9.99,10.43,13.75,12.63,1999-2000,REG,82
Milwaukee Bucks,32.39,32.83,19.16,15.32,0.31,11.79,11.65,10.37,10.1,13.02,12.96,1999-2000,REG,82
Minnesota Timberwolves,33.92,20.88,34.85,10.1,0.25,12.1,11.29,10.71,9.54,13.32,12.7,1999-2000,REG,82
Brooklyn Nets,38.38,13.57,28.16,19.74,0.15,12.27,10.76,10.48,8.92,13.64,12.34,1999-2000,REG,82
Charlotte Hornets,39.92,24.51,20.36,15.02,0.2,11.02,10.91,9.15,9.42,12.56,12.12,1999-2000,REG,82
New York Knicks,39.89,27.61,18.02,14.12,0.36,10.82,12.03,9.7,10.31,11.76,13.28,1999-2000,REG,82
Oklahoma City Thunder,41.53,12.97,22.4,22.99,0.1,12.16,11.69,9.72,9.76,14.13,13.29,1999-2000,REG,82
Orlando Magic,42.51,17.58,27.52,12.18,0.21,10.82,11.52,9.12,9.57,12.23,13.09,1999-2000,REG,82
Philadelphia 76ers,44.57,26.37,19.42,9.52,0.12,9.95,11.58,7.9,9.66,11.56,13.05,1999-2000,REG,82
Phoenix Suns,42.48,18.54,21.12,17.7,0.16,11.09,11.41,9.19,9.54,12.69,12.78,1999-2000,REG,82
Portland Trailblazers,42.55,15.93,24.01,17.22,0.3,11.38,11.89,9.48,10.09,13.06,13.26,1999-2000,REG,82
Sacramento Kings,43.72,14.35,19.03,22.56,0.34,11.81,11.51,9.41,9.65,13.77,13.05,1999-2000,REG,82
San Antonio Spurs,43.52,22,20.73,13.59,0.16,10.64,11.49,9.03,9.94,12.02,12.64,1999-2000,REG,82
Toronto Raptors,32.86,21.65,28.51,16.78,0.19,12.48,10.9,11.09,9.07,13.53,12.43,1999-2000,REG,82
Utah Jazz,39.66,18.84,28.26,13.06,0.19,11.33,12.08,9.99,10.76,12.5,13.15,1999-2000,REG,82
Washington Wizards,41.45,25.99,19.21,13.26,0.08,10.79,11.35,9.44,9.59,11.9,12.84,1999-2000,REG,82
Portland Trailblazers,41.51,16.59,24.74,16.95,0.21,11.6,11.47,9.78,9.76,13.04,12.7,1998-1999,REG,50
Phoenix Suns,37.27,22.06,22.92,17.61,0.14,11.8,11.44,10.01,9.59,13.27,12.96,1998-1999,REG,50
Philadelphia 76ers,43.5,25.86,21.09,9.37,0.18,10.17,11.96,7.84,9.94,11.9,13.44,1998-1999,REG,50
Orlando Magic,39.48,17.95,25.39,16.71,0.47,11.71,11,9.65,8.85,13.25,12.72,1998-1999,REG,50
Oklahoma City Thunder,44.62,15.82,17.03,22.43,0.1,11.39,11.36,9.08,9.09,13.22,13.26,1998-1999,REG,50
New York Knicks,44.2,23.43,16.47,15.66,0.24,10.45,11.75,8.91,10.58,11.63,12.54,1998-1999,REG,50
Charlotte Hornets,37.2,21.56,21.42,19.69,0.14,11.96,11.02,9.99,9.05,13.59,12.53,1998-1999,REG,50
Brooklyn Nets,40.86,15.81,26.87,16.3,0.15,11.55,10.4,9.71,8.65,12.82,11.85,1998-1999,REG,50
Minnesota Timberwolves,35.22,22.69,32.66,9.24,0.18,11.67,11.41,10.43,9.38,12.59,12.99,1998-1999,REG,50
Milwaukee Bucks,37.62,24.32,21.81,16.06,0.2,11.45,11.71,9.98,9.61,12.71,13.29,1998-1999,REG,50
Miami Heat,37.87,18.46,21.35,22.21,0.11,12.24,11.43,10.39,10.33,13.78,12.21,1998-1999,REG,50
Memphis Grizzlies,47.15,17.65,23.38,11.63,0.19,10.3,10.81,8.57,8.55,11.59,12.75,1998-1999,REG,50
Los Angeles Lakers,48.26,16.82,17.48,17.23,0.2,10.48,11.39,8.2,9.48,12.49,12.89,1998-1999,REG,50
Los Angeles Clippers,46.51,18.44,18.7,16.14,0.21,10.6,10.28,8.48,8.27,12.2,12.09,1998-1999,REG,50
Indiana Pacers,37.03,22.72,19.28,20.66,0.3,12.32,11.65,10.89,10.05,13.46,12.88,1998-1999,REG,50
Houston Rockets,43.18,18.53,14.1,24.02,0.17,11.44,11.55,9.15,9.93,13.41,12.8,1998-1999,REG,50
Golden State Warriors,41.86,20.7,24.25,13.01,0.2,11.2,10.73,9.55,8.72,12.37,12.19,1998-1999,REG,50
Detroit Pistons,39.4,23.6,18.73,18.14,0.13,11.27,12,9.31,10.21,12.84,13.38,1998-1999,REG,50
Denver Nuggets,39.2,17.97,19.61,23.09,0.13,12.08,10.77,10.06,8.78,13.55,12.52,1998-1999,REG,50
Dallas Mavericks,37.25,22.79,25.19,14.53,0.24,11.64,11.1,9.82,9.07,13.05,12.72,1998-1999,REG,50
Cleveland Cavaliers,44.46,19.53,21.06,14.71,0.23,10.56,11.16,9.02,9.03,11.77,12.81,1998-1999,REG,50
Chicago Bulls,40.17,21.09,22.84,15.77,0.13,11.27,11.07,9.33,8.95,12.56,12.84,1998-1999,REG,50
Boston Celtics,44.45,19.09,18.35,17.96,0.14,10.95,10.12,9.47,7.95,12.1,11.85,1998-1999,REG,50
Atlanta Hawks,40.1,22.17,20.64,16.73,0.35,11.4,11.56,9.36,9.93,12.81,12.71,1998-1999,REG,50
Sacramento Kings,47.1,14.55,16.27,21.82,0.27,11.13,11.13,8.2,9.15,13.48,12.73,1998-1999,REG,50
San Antonio Spurs,45.84,19.29,21.13,13.55,0.19,10.38,10.9,8.28,9.32,12.13,11.95,1998-1999,REG,50
